map000._as		
旅人の森	Map 01##	
条件が完全に対等な対戦マップです。 全体が狭く、身を隠す場所がないため、 常にユニットの影響範囲を念頭に置いた 行動が要求されます。下手な配置では 味方同士が足を引っ張ることになります。 	No Master has an advantage here. Without any obstacles on this narrow map, positioning and range of every unit is vital for your survival. Being reckless will punish you severely.   	
		
map049._as		
対立の波濤	##Map 50##	
《対立の波濤》 		
条件が完全に対等な対戦マップです。 水面板は水位とともに高さが変化します。 これを利用して魔力不足を補いましょう。 また中央に高い山がそびえていることにも 注意しておきましょう。 	No Master has an advantage here. Use the water to your advantage with tide magic to compensate for limited MP. You should also plan around the higher ground in the center.   	
		
map050._as		
無への挑戦	##Map 51##	
《無への挑戦》 		
条件が完全に対等な対戦マップです。 すり鉢状になっているため、一度下に 降りると相手の攻撃にさらされることに なります。どこに身を置くか、マスター の特性に合った作戦を展開しましょう。 	No Master has an advantage here. Because the elevation is lower in the center, you will likely be in the enemy's range the farther you advance. Plan around your Master's strengths.	
		
map051._as		
大海に瞬く双星	####Map 52####	
《大海に瞬く双星》 		
条件が完全に対等な対戦マップです。 全体が手狭で、奇襲に対する警戒が 必要となるでしょう。中央を分断する腐潟と 壁をうまく利用できるかが鍵です。 魔晶石を巡る激しい攻防が予想されます。 	No Master has an advantage here. With the map having many swamps and obstacles, navigation will be difficult. Stay on guard from surprise attacks as you try to get the upper hand. 	
